,max,average,median
berth,318,117.60104834012813,103.0
beset,772,271.7524752475247,139.0
betel,743,270.9254513686663,258.0
bevel,1016,439.4752475247525,300.0
bezel,1078,483.15958066394876,314.0
bible,451,188.76121141525917,148.0
bicep,329,136.64472917880022,92.0
biddy,853,439.7903319743739,267.0
bigot,434,166.83925451368665,130.0
bilge,332,128.58532323820617,102.0
billy,853,386.703552708212,207.0
binge,358,142.185789167152,76.0
bingo,496,205.5369831100757,161.0
biome,252,115.1316249271986,110.0
birch,422,168.3488642981945,74.0
birth,370,141.45428072218988,71.0
bison,358,133.74781595806638,100.0
bitty,853,381.83110075713455,215.0
black,509,203.52999417588816,88.0
blade,288,100.8683750728014,59.0
blame,290,108.26150262085032,75.0
bland,394,140.36517181129878,94.0
blank,446,171.8153756552126,129.0
blare,228,73.49854397204426,46.0
blast,312,103.65579499126383,52.0
blaze,341,140.3197437390798,93.0
bleak,302,142.72160745486315,111.0
bleat,213,90.99417588817705,59.0
bleed,903,356.40943506115315,141.0
bleep,910,360.55387303436225,226.0
blend,342,134.82644146767618,92.0
bless,593,252.76354105998834,156.0
blimp,543,224.68666278392544,103.0
blind,479,179.13628421665695,71.0
blink,507,202.96971461852067,125.0
bliss,777,307.73092603377984,199.0
blitz,518,220.84391380314503,176.0
bloat,296,107.02446126965637,69.0
block,546,228.06930693069307,157.0
bloke,318,132.62958648806057,104.0
blond,454,170.61094933022713,117.0
blood,903,405.51019219569014,168.0
bloom,939,435.64589400116483,279.0
blown,496,203.7897495631916,131.0
bluer,275,101.61153174140944,76.0
bluff,865,458.49213744903903,257.0
blunt,382,146.92079207920793,152.0
blurb,536,265.7897495631916,228.0
blurt,308,126.24635993011066,67.0
blush,467,182.30460104834012,95.0
board,320,117.75713453698312,74.0
boast,292,98.32090856144438,79.0
bobby,986,579.2265579499126,986.0
boney,269,120.42341292952824,109.0
bongo,1004,484.56610366919045,226.0
bonus,444,169.72218986604543,89.0
booby,1399,788.7973209085615,1399.0
boost,772,312.65812463599303,127.0
booth,918,416.88468258590564,161.0
booty,856,388.03436225975537,204.0
booze,813,393.6080372743157,419.0
boozy,1211,675.1007571345369,1211.0
borax,376,173.417006406523,118.0
borne,263,88.62842166569598,64.0
bosom,913,437.88293535235874,358.0
bossy,872,385.934769947583,228.0
botch,527,208.7926616191031,89.0
bough,598,255.28305183459523,120.0
boule,266,103.85032032615027,77.0
bound,539,209.73150844496215,103.0
bowel,337,140.88817705299942,115.0
boxer,384,165.48456610366918,113.0
brace,257,83.08270238788585,44.0
braid,288,114.4839836924869,110.0
brain,243,91.4729178800233,76.0
brake,284,102.75888177053,77.0
brand,327,118.73791496796738,78.0
brash,288,109.55794991263832,75.0
brass,587,222.98369248689576,165.0
brave,318,112.03785672684916,83.0
bravo,368,148.40244612696563,120.0
brawl,358,137.77344205008737,84.0
brawn,365,142.648223645894,99.0
bread,270,106.64123471170646,74.0
break,284,120.44088526499709,103.0
breed,827,327.18229470005826,173.0
briar,586,236.27023878858475,146.0
bribe,398,163.06930693069307,146.0
brick,460,188.95340710541643,99.0
bride,301,107.61269656377402,105.0
brief,315,124.26499708794408,76.0
brine,247,83.64414676761794,50.0
bring,416,164.8357600465929,108.0
brink,423,170.7914967967385,108.0
briny,343,131.44379732090857,102.0
brisk,371,149.04775771694815,145.0
broad,320,128.49330227140362,81.0
broil,275,103.07454863133373,76.0
broke,329,123.45661036691905,123.0
brood,827,369.1939429237041,138.0
brook,878,410.35818287711123,355.0
broom,838,381.74082702387886,152.0
broth,394,143.36342457775189,80.0
brown,458,186.16948165404776,107.0
brunt,347,129.35643564356437,80.0
brush,412,158.82993593476994,113.0
brute,290,98.09609784507863,65.0
buddy,974,522.2894583576004,210.0
budge,444,192.5061153174141,157.0
buggy,974,531.8782760629005,210.0
bugle,371,149.82119976703552,109.0
build,491,188.45835760046592,97.0
built,401,140.35818287711123,82.0
bulge,371,151.24810716365755,117.0
bulky,623,284.21141525917295,137.0
bully,974,464.849737914968,241.0
bunch,581,244.30227140361094,110.0
bunny,974,467.4647641234712,210.0
burly,365,162.34769947582993,110.0
burnt,347,133.62434478741991,64.0
burst,360,134.20442632498543,52.0
bused,331,136.24053581828773,107.0
bushy,550,238.1997670355271,144.0
butch,594,249.96214327315084,110.0
butte,619,267.8910891089109,207.0
buxom,740,376.07163657542225,237.0
buyer,287,123.73267326732673,106.0
bylaw,503,218.3861386138614,133.0
cabal,859,346.5107746068725,140.0
cabby,657,308.55562026790915,172.0
cabin,344,128.10658124635992,89.0
cable,270,92.2195690157251,49.0
cacao,1234,545.1415259172976,355.0
cache,412,184.2422830518346,166.0
cacti,491,208.72859638905067,145.0
caddy,657,295.4962143273151,172.0
cadet,211,74.59813628421665,57.0
cagey,221,101.28771112405359,110.0
cairn,231,78.93011065812463,45.0
camel,256,89.79673849737915,77.0
cameo,194,89.90273733255678,119.0
canal,685,250.41234711706466,115.0
candy,387,143.75596971461852,81.0
